"range","nsample","dsample","simtype","baseline_random_RMSE","baseline_spatial_RMSE","baseline_surface_RMSE","baseline_AOA","baseline_impfeat","baseline_mtry","coord_random_RMSE","coord_spatial_RMSE","coord_surface_RMSE","coord_AOA","coord_impfeat","coord_mtry","EDF_random_RMSE","EDF_spatial_RMSE","EDF_surface_RMSE","EDF_AOA","EDF_impfeat","EDF_mtry","RFsp_random_RMSE","RFsp_spatial_RMSE","RFsp_surface_RMSE","RFsp_AOA","RFsp_impfeat","RFsp_mtry","RFGLS_surface_RMSE"
40,200,"sregular","complete",1.53070455937765,1.58459961782435,1.553009868908,97.7,100,5,1.52789776036782,1.57494463362011,1.4813857364967,99.66,74.6277062833556,4,1.56968513922863,1.63832772531976,1.45490879252283,99.52,58.9034441504181,13,1.56704243241413,1.6206875703745,1.44598869793643,99.78,22.9008020285497,216,1.48926760615181
40,200,"random","complete",1.54678611277598,1.47078158061961,1.47398005032293,99.23,100,6,1.49158143147457,1.42436119342834,1.41794865356218,98.49,70.0420888170516,8,1.54495658845998,1.49632887399239,1.47814206371397,98.49,42.286597584861,2,1.63277324785587,1.54180520487126,1.4856476196922,97.25,17.378641103283,154,1.38197996339344
40,200,"wclust","complete",1.45831516988976,1.96196856385506,1.58751514487309,87.08,100,4,1.41241086171296,1.86118510213184,1.49390733997546,77.2,72.6121738669549,4,1.44166616493413,1.86109025370215,1.48348198334744,68.96,51.1664089376298,13,1.44683363454248,1.8620421695677,1.61546759440839,63.3,3.29673446524385,2,1.51958385037259
40,200,"sclust","complete",1.22393870977064,2.73653987107137,2.13134871778733,41.13,100,5,1.20012200391153,2.70711114600371,2.06303960775228,23.69,66.8762968067972,5,1.24431643742686,2.98446186831126,1.94824961745624,18.33,33.7307985567775,2,1.30970247201838,2.84159086535339,1.94935465497115,19.52,11.4323871377277,96,2.13984993619732
40,200,"sregular","complete",1.63073569017719,1.6879623239298,1.46283503079915,99.05,100,4,1.6605811185779,1.67297915196894,1.48481254012287,99.2,79.2919318124705,2,1.6383772343956,1.70604720074712,1.43067011052166,99,72.2753576341817,10,1.71861123777786,1.79303906161772,1.47455758044602,99.75,24.6612682244764,102,1.42805015354171
40,200,"random","complete",1.51789200307238,1.56713629044712,1.49068001767901,98.29,100,4,1.51241556921158,1.56859561641415,1.49906542598324,98.49,83.137985538426,5,1.51899817048141,1.62543514367111,1.49254423638355,97.4,75.3918212282236,13,1.59101435106636,1.62672580630495,1.55568712783266,97.43,29.6776934347605,203,1.44295459319966
40,200,"wclust","complete",1.48601934703577,1.61628334382769,1.57383867654515,89.74,100,2,1.524207006524,1.66534239365051,1.60763782315234,70.06,69.2372964964979,2,1.46801206773895,1.73821218740695,1.6054897803971,57.42,46.0971294591591,2,1.51937903973721,1.87524741450205,1.69642813630171,56.17,23.0326844318812,150,1.6893775223471
40,200,"sclust","complete",1.3948834652975,1.75549377713641,2.16132006962994,39.18,100,3,1.34764124444982,1.90414148466645,2.17163980616154,27.03,64.0495122093843,2,1.36099527804851,1.90181510917061,2.42137811251837,24.39,43.2549646273537,2,1.36424866505495,1.95918117525843,2.70605075337665,21.35,3.41453053987476,2,2.23701256231621
40,200,"sregular","complete",1.42599693710404,1.44260335195461,1.38843653589716,99.78,100,2,1.46566367329472,1.44284510808666,1.38837994284946,99.92,82.7967277112049,2,1.44856707756899,1.43481151259202,1.36091849772082,99.9,72.1282505878596,5,1.50527983071095,1.48456291480239,1.43609099873868,99.94,31.2301971110817,56,1.3457094754177
40,200,"random","complete",1.41758466779244,1.369812897068,1.3815782080675,98.1,100,3,1.41617701484001,1.38345690180562,1.3903048119451,98.61,91.2846153941253,5,1.40823556039225,1.35710136671349,1.38296498216712,99.08,75.7519120885884,5,1.3901141260242,1.37769502952853,1.45336910432073,99.35,52.74537546279,102,1.36292148636795
